# Radius	Chord	Twist	Thickness	precurve[optional]	presweep[optional]
1.48	2.9	14	100	0	
2.68	2.9	14	100	-0.1	
4.48	2.983819	14.040119	96.66138	-0.2	
5.48	3.06961	14.042955	93.40329	-0.3	
6.48	3.175207	13.997686	89.50809	-0.4	
7.48	3.294704	13.888829	85.21348	-0.5	
8.48	3.422802	13.710055	80.82751	-0.6	
9.48	3.5541	13.455089	76.45063	-0.7	
10.48	3.683897	13.126801	72.1048	-0.8	
11.48	3.807692	12.729157	67.87607	-0.9	
13.48	4.022684	11.755123	59.73441	-1	
15.48	4.174581	10.609803	52.96699	-1.1	
17.48	4.24888	9.380826	45.9119	-1.2	
19.48	4.240981	8.151849	40.82034	-1.3	
21.48	4.155584	6.992767	37.06006	-1.4	
23.48	4.005589	5.949989	33.71254	-1.5	
25.48	3.810094	5.044149	31.2074	-1.6	
27.48	3.5916	4.271791	30.02583	-1.7	
29.48	3.372405	3.611736	30.0256	-1.8	
31.48	3.171706	3.03304	30.02567	-1.9	
33.48	2.996505	2.503051	30.02571	-2	
35.48	2.838904	2.026934	30.02573	-2.1	
37.48	2.696603	1.600067	30.02571	-2.2	
39.48	2.567403	1.215043	30.02569	-2.3	
41.48	2.449702	0.864975	30.02555	-2.4	
43.48	2.338702	0.592813	29.63776	-2.5	
45.48	2.235902	0.360764	29.14067	-2.6	
47.48	2.141402	0.149909	28.66335	-2.7	
49.48	2.054502	-0.043754	28.22586	-2.8	
51.48	1.974101	-0.22194	27.80825	-2.9	
53.48	1.899601	-0.38581	27.41055	-3	
55.48	1.830301	-0.538212	27.04265	-3.1	
57.48	1.765601	-0.67916	26.69489	-3.2	
59.48	1.705001	-0.810942	26.3781	-3.3	
61.48	1.647801	-0.931836	26.07091	-3.4	
63.48	1.5934	-1.047	25.7829	-3.5	
65.48	1.5406	-1.14784	25.4661	-3.6	
67.48	1.4883	-1.237801	25.12048	-3.7	
69.48	1.436399	-1.347234	24.67066	-3.8	
71.48	1.380098	-1.44578	24.11006	-3.9	
73.48	1.313795	-1.534013	23.40938	-4	
75.48	1.228291	-1.61021	22.52861	-4.1	
77.48	1.106693	-1.673744	21.4478	-4.2	
79.48	0.956286	-1.449728	20.38467	-4.3	
79.98	0.903704	-1.334168	20.05719	-4.4	
80.48	0.838979	-1.20283	19.71881	-4.5	
80.98	0.751769	-1.060749	19.35439	-4.6	
81.48	0.625935	-0.910239	18.98501	-4.7	
81.98001	0.4437	-0.751922	18.59661	-4.8	
82.38	0.05	-0.620721	18.31479	-4.9	
